defect_id,layer,recommended_catch_point,table,column,row_key,defect_family,defect_type,good_value,bad_value,how_it_breaks_conversational_bi
DFT-157,Gold,Gold model test,gold_supplier_scorecard_monthly,otd_pct,202512/SUP-006,F - Functional/semantic,Scale mismatch (fraction vs percent),100.0,1.0,AVG(otd_pct) collapses toward 0
DFT-158,Gold,Gold model test,gold_supplier_scorecard_monthly,otd_pct,202507/SUP-005,F - Functional/semantic,Scale mismatch (fraction vs percent),80.0,0.8,AVG(otd_pct) collapses toward 0
DFT-159,Gold,Gold model test,gold_supplier_scorecard_monthly,otd_pct,202504/SUP-001,F - Functional/semantic,Scale mismatch (fraction vs percent),100.0,1.0,AVG(otd_pct) collapses toward 0
DFT-160,Gold,Gold model test,gold_supplier_scorecard_monthly,otd_pct,202506/SUP-555,F - Functional/semantic,Scale mismatch (fraction vs percent),50.0,0.5,AVG(otd_pct) collapses toward 0
DFT-161,Gold,Gold DQ gate,gold_inventory_snapshot_monthly,on_hand_qty,PLT-02/MAT-103,C - Missing data,Missing stock level,1447.0,<null>,Total on-hand understated
DFT-162,Gold,Gold DQ gate,gold_inventory_snapshot_monthly,on_hand_qty,PLT-05/MAT-101,C - Missing data,Missing stock level,2537.0,<null>,Total on-hand understated
DFT-163,Gold,Gold DQ gate,gold_inventory_snapshot_monthly,on_hand_qty,PLT-02/MAT-104,C - Missing data,Missing stock level,866.0,<null>,Total on-hand understated
DFT-164,Gold,Gold DQ gate,gold_inventory_snapshot_monthly,on_hand_qty,PLT-06/MAT-105,C - Missing data,Missing stock level,1170.0,<null>,Total on-hand understated
DFT-165,Gold,Gold DQ gate,gold_inventory_snapshot_monthly,on_hand_qty,PLT-06/MAT-102,C - Missing data,Missing stock level,214.0,<null>,Total on-hand understated
DFT-166,Gold,Gold DQ gate,gold_inventory_snapshot_monthly,on_hand_qty,PLT-02/MAT-105,C - Missing data,Missing stock level,-271.0,<null>,Total on-hand understated
DFT-167,Gold,Gold DQ gate,gold_demand_supply_monthly,supply_fill_rate_pct,PLT-06/MAT-101,A - Value defects,Fill rate outside 0-100,99.8,145.0,Service-level KPI >100%/neg
DFT-168,Gold,Gold DQ gate,gold_demand_supply_monthly,supply_fill_rate_pct,PLT-05/MAT-102,A - Value defects,Fill rate outside 0-100,100.0,-12.0,Service-level KPI >100%/neg
DFT-169,Gold,Gold DQ gate,gold_demand_supply_monthly,supply_fill_rate_pct,PLT-06/MAT-111,A - Value defects,Fill rate outside 0-100,100.0,145.0,Service-level KPI >100%/neg
DFT-170,Gold,Gold DQ gate,gold_demand_supply_monthly,supply_fill_rate_pct,PLT-06/MAT-112,A - Value defects,Fill rate outside 0-100,94.0,-12.0,Service-level KPI >100%/neg
DFT-171,Gold,Gold DQ gate,gold_demand_supply_monthly,supply_fill_rate_pct,PLT-05/MAT-109,A - Value defects,Fill rate outside 0-100,98.4,145.0,Service-level KPI >100%/neg
DFT-172,Gold,Gold cross-mart reconciliation,gold_supplier_summary,total_spend_usd,SUP-004,D - Duplicate/contradictory,Summary spend disagrees with spend mart,513341.89999999997,641677.0,Two gold marts give different spend for same supplier
DFT-173,Gold,Gold cross-mart reconciliation,gold_supplier_summary,total_spend_usd,SUP-006,D - Duplicate/contradictory,Summary spend disagrees with spend mart,3657739.71,4572175.0,Two gold marts give different spend for same supplier
DFT-174,Gold,Gold cross-mart reconciliation,gold_supplier_summary,total_spend_usd,SUP-007,D - Duplicate/contradictory,Summary spend disagrees with spend mart,706600.42,883251.0,Two gold marts give different spend for same supplier
